,dt,AverageTemperature,AverageTemperatureUncertainty,Country,Year
0,1990-01-01,1.5579999999999998,0.46,Afghanistan,1990
1,1990-02-01,3.669,0.244,Afghanistan,1990
2,1990-03-01,8.402000000000001,0.311,Afghanistan,1990
3,1990-04-01,14.457,0.231,Afghanistan,1990
4,1990-05-01,22.442,0.316,Afghanistan,1990
5,1990-06-01,26.34,0.289,Afghanistan,1990
6,1990-07-01,27.526,0.476,Afghanistan,1990
7,1990-08-01,26.563,0.529,Afghanistan,1990
8,1990-09-01,22.217,0.246,Afghanistan,1990
9,1990-10-01,14.53,0.405,Afghanistan,1990
10,1990-11-01,10.042,0.418,Afghanistan,1990
11,1990-12-01,2.1740000000000004,0.424,Afghanistan,1990
12,1991-01-01,1.168,0.852,Afghanistan,1991
13,1991-02-01,2.352,0.57,Afghanistan,1991
14,1991-03-01,7.925000000000002,0.402,Afghanistan,1991
15,1991-04-01,14.645,0.404,Afghanistan,1991
16,1991-05-01,19.294,0.481,Afghanistan,1991
17,1991-06-01,25.117,0.225,Afghanistan,1991
18,1991-07-01,27.23,0.271,Afghanistan,1991
19,1991-08-01,25.562,0.287,Afghanistan,1991
20,1991-09-01,21.141,0.231,Afghanistan,1991
21,1991-10-01,14.139,0.365,Afghanistan,1991
22,1991-11-01,8.749,0.414,Afghanistan,1991
23,1991-12-01,5.127000000000002,0.43,Afghanistan,1991
24,1992-01-01,1.588,0.655,Afghanistan,1992
25,1992-02-01,3.73,1.037,Afghanistan,1992
26,1992-03-01,6.593000000000001,0.295,Afghanistan,1992
27,1992-04-01,13.562,0.547,Afghanistan,1992
28,1992-05-01,17.72,0.34,Afghanistan,1992
29,1992-06-01,25.128,0.478,Afghanistan,1992
30,1992-07-01,26.804,0.33,Afghanistan,1992
31,1992-08-01,24.584000000000003,0.327,Afghanistan,1992
32,1992-09-01,19.777,0.365,Afghanistan,1992
33,1992-10-01,13.942,0.485,Afghanistan,1992
34,1992-11-01,9.812,0.7879999999999999,Afghanistan,1992
35,1992-12-01,5.433,0.373,Afghanistan,1992
36,1993-01-01,0.8079999999999999,0.893,Afghanistan,1993
37,1993-02-01,5.376,0.429,Afghanistan,1993
38,1993-03-01,7.475,0.575,Afghanistan,1993
39,1993-04-01,15.233,0.324,Afghanistan,1993
40,1993-05-01,20.556,0.359,Afghanistan,1993
41,1993-06-01,25.273000000000003,0.505,Afghanistan,1993
42,1993-07-01,26.826,0.493,Afghanistan,1993
43,1993-08-01,24.917,0.5660000000000001,Afghanistan,1993
44,1993-09-01,21.682,0.41,Afghanistan,1993
45,1993-10-01,12.904000000000002,0.413,Afghanistan,1993
46,1993-11-01,8.325,0.826,Afghanistan,1993
47,1993-12-01,3.896,0.6779999999999999,Afghanistan,1993
48,1994-01-01,2.105,0.625,Afghanistan,1994
49,1994-02-01,2.082,0.6629999999999999,Afghanistan,1994
50,1994-03-01,10.35,0.34,Afghanistan,1994
51,1994-04-01,13.339,0.288,Afghanistan,1994
52,1994-05-01,21.143,0.343,Afghanistan,1994
53,1994-06-01,26.289,0.285,Afghanistan,1994
54,1994-07-01,27.668000000000003,0.399,Afghanistan,1994
55,1994-08-01,27.077,0.317,Afghanistan,1994
56,1994-09-01,18.314,0.257,Afghanistan,1994
57,1994-10-01,13.890999999999998,0.415,Afghanistan,1994
58,1994-11-01,11.56,0.523,Afghanistan,1994
59,1994-12-01,3.2390000000000003,0.307,Afghanistan,1994
60,1995-01-01,2.4530000000000003,0.362,Afghanistan,1995
61,1995-02-01,4.007,0.7340000000000001,Afghanistan,1995
62,1995-03-01,7.944000000000001,0.81,Afghanistan,1995
63,1995-04-01,14.428,0.535,Afghanistan,1995
64,1995-05-01,20.442,0.3670000000000001,Afghanistan,1995
65,1995-06-01,25.837,0.278,Afghanistan,1995
66,1995-07-01,28.443,0.331,Afghanistan,1995
67,1995-08-01,26.718000000000004,0.245,Afghanistan,1995
68,1995-09-01,20.947,0.252,Afghanistan,1995
69,1995-10-01,14.539,0.3,Afghanistan,1995
70,1995-11-01,9.973,0.679,Afghanistan,1995
71,1995-12-01,2.579,0.324,Afghanistan,1995
72,1996-01-01,0.175,0.254,Afghanistan,1996
73,1996-02-01,4.337,0.239,Afghanistan,1996
74,1996-03-01,8.31,0.417,Afghanistan,1996
75,1996-04-01,14.773,0.471,Afghanistan,1996
76,1996-05-01,19.42,0.265,Afghanistan,1996
77,1996-06-01,25.518,0.363,Afghanistan,1996
78,1996-07-01,27.349,0.727,Afghanistan,1996
79,1996-08-01,25.278,0.335,Afghanistan,1996
80,1996-09-01,22.929,0.408,Afghanistan,1996
81,1996-10-01,14.36,0.242,Afghanistan,1996
82,1996-11-01,6.7620000000000005,0.471,Afghanistan,1996
83,1996-12-01,3.901,0.328,Afghanistan,1996
84,1997-01-01,2.69,0.521,Afghanistan,1997
85,1997-02-01,3.628,0.722,Afghanistan,1997
86,1997-03-01,8.742,0.655,Afghanistan,1997
87,1997-04-01,14.483,0.965,Afghanistan,1997
